----- Header start -----
SourceDataset=logging
Copyright=(c) 2011 Lodam electronics a/s
Comment=CondUnit-ECOSTAR
ItemNo.=6552190001
Customer=BITZER
Title=CU-ECOSTAR
SW version=2.1.6.2
Compiled=Oct 23 2014
DB def.=20130403
UnitSystem=Metric
----- Header end -----
Time,Info.Date,Time.Day,Time.Hour,Time.Minute,Time.Second,FC.FrAct,FC.Curr,FC.M_V,Input.Troom,Input.T0,Input.TC,Input.Tdis,Input.Tamb,Input.Tsuc,Input.Tsh,Input.Tsh_dis,Input.TFC,Input.IFC,Input.Psuc,Input.Pdis,FCAPI.FrqAct,FCAPI.Current,FCAPI.Power
2023-01-04 10:15:38,Oct 23 2014,4,10,20,12,25.81,9.93,127,21.66,14.48,31.47,32.88,30.12,-70,-70,1.43,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:39,Oct 23 2014,4,10,20,13,25.81,9.93,127,21.66,14.48,31.47,32.88,30.13,-70,-70,1.41,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:40,Oct 23 2014,4,10,20,14,25.81,9.93,127,21.66,14.48,31.45,32.88,30.13,-70,-70,1.41,0,0,9.3,14.69,0,0,0
2023-01-04 10:15:41,Oct 23 2014,4,10,20,15,25.81,9.93,127,21.66,14.48,31.45,32.88,30.14,-70,-70,1.43,0,0,9.3,14.69,0,0,0
2023-01-04 10:15:42,Oct 23 2014,4,10,20,16,25.81,9.93,127,21.66,14.48,31.45,32.88,30.14,-70,-70,1.43,0,0,9.3,14.69,0,0,0
2023-01-04 10:15:42,"Event:Mode changed from Off to On"
2023-01-04 10:15:43,Oct 23 2014,4,10,20,17,25.81,9.93,127,21.67,14.48,31.47,32.89,30.14,-70,-70,1.44,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:44,Oct 23 2014,4,10,20,18,25.81,9.93,127,21.67,14.48,31.47,32.89,30.14,-70,-70,1.42,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:45,Oct 23 2014,4,10,20,19,0,0,0,21.67,14.48,31.42,32.89,30.14,-70,-70,1.42,0,0,9.3,14.68,0,0,0
2023-01-04 10:15:46,Oct 23 2014,4,10,20,20,0,0,0,21.69,14.48,31.47,32.9,30.15,-70,-70,1.48,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:47,Oct 23 2014,4,10,20,21,0,0,0,21.69,14.48,31.47,32.9,30.15,-70,-70,1.43,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:48,Oct 23 2014,4,10,20,22,0,0,0,21.72,14.48,31.47,32.9,30.17,-70,-70,1.43,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:49,Oct 23 2014,4,10,20,23,0,0,0,21.74,14.48,31.47,32.9,30.18,-70,-70,1.43,0,0,9.3,14.7,0,0,0
2023-01-04 10:15:50,Oct 23 2014,4,10,20,24,0,0,0,21.74,14.48,31.47,32.9,30.18,-70,-70,1.43,0,0,9.3,14.7,0,0,0
