----- Header start -----
SourceDataset=Datalog
Copyright=(c) 2011 Lodam electronics a/s
Comment=CondUnit-ECOSTAR
ItemNo.=6552190001
Customer=BITZER
Title=CU-ECOSTAR
SW version=2.1.6.2
Compiled=Apr  5 2013
DB def.=20130403
UnitSystem=Metric
----- Header end -----
Time,Capacity.FC_Freq,Condens.Speed,Input.IFC,Input.T0,Input.TC,Input.Tdis,Input.Troom,Limiter.Act_Limit,Capacity.CapAct,Input.Tsuc,Input.Tamb,Capacity.Tset,Control.ExtRef,Control.Runtime,DigIn.DI3,DigIn.DI4,DigIn.DIS1,DigIn.DIS2,DigIn.UdpCnx,Input.TFC,Info.Target,Alarm.Count,Info.Title,Info.OSVersion,Info.Checksum,Info.Controller,Info.Serial
2024-04-15 12:46:22,85,52.5,14.29,-12.18,35.1,52.13,7,0,100,-70,18.28,-6,0,9.79722222222222,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:46:32,85,51.91,14.25,-12.32,35.03,51.89,6.93,0,100,-70,17.93,-6,0,9.80027777777778,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:46:42,85,51.91,14.21,-12.39,35.03,51.72,6.9,0,100,-70,17.79,-6,0,9.80277777777778,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:46:52,85,52.75,14.23,-12.32,35.13,51.61,6.84,0,100,-70,17.78,-6,0,9.80555555555556,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:47:02,85,54.41,14.24,-12.18,35.33,51.67,6.8,0,100,-70,18.25,-6,0,9.80833333333333,1,1,1,1,1,35,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:47:12,85,55.25,14.33,-12.03,35.43,51.99,6.75,0,100,-70,19.13,-6,0,9.81111111111111,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:47:22,85,54.41,14.36,-11.82,35.33,52.08,6.7,0,100,-70,19.32,-6,0,9.81388888888889,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:47:32,85,54.41,14.47,-11.68,35.33,51.94,6.64,0,100,-70,18.94,-6,0,9.81694444444445,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:47:42,85,55.25,14.46,-11.54,35.43,51.68,6.6,0,100,-70,19.23,-6,0,9.81972222222222,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
2024-04-15 12:47:52,85,55.41,14.51,-11.33,35.43,51.44,6.57,0,100,-70,19.54,-6,0,9.8225,1,1,1,1,1,34,LMC 300-512,1,CU-ECOSTAR,1.6.0.1.525400.0.AA,N/A,ARM7S512,
